city_id,city_name,admin_region,country_code,latitude,longitude,existing_timezone,calculated_timezone,assignment_method,confidence,boundary_distance_meters,review_status,dataset_version,reason
646,Alderetes,Tucumán,AR,-26.81667,-65.13333,America/Argentina/Buenos_Aires,America/Argentina/Tucuman,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
655,Alto Río Senguer,Chubut,AR,-45.04105,-70.81982,America/Argentina/Buenos_Aires,America/Argentina/Catamarca,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
673,Arroyo Seco,Santa Fe,AR,-33.15489,-60.50863,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
696,Berón de Astrada,Corrientes,AR,-27.55067,-57.5346,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
701,Brinkmann,Córdoba,AR,-30.86589,-62.03742,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
708,Cafayate,Salta,AR,-26.08333,-65.83333,America/Argentina/Buenos_Aires,America/Argentina/Salta,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
711,Caleta Olivia,Santa Cruz,AR,-46.43929,-67.52814,America/Argentina/Buenos_Aires,America/Argentina/Rio_Gallegos,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
720,Campo Quijano,Salta,AR,-24.90982,-65.63656,America/Argentina/Buenos_Aires,America/Argentina/Salta,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
723,Canals,Córdoba,AR,-33.56542,-62.88927,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
730,Capitán Solari,Chaco,AR,-26.80215,-59.56089,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
736,Casilda,Santa Fe,AR,-33.04417,-61.16806,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
737,Castelli,Chaco,AR,-25.94679,-60.61947,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
745,Ceibas,Entre Ríos,AR,-33.43333,-58.75,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
759,Chichinales,Río Negro,AR,-39.11505,-66.92714,America/Argentina/Buenos_Aires,America/Argentina/Salta,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
763,Chimpay,Río Negro,AR,-39.16482,-66.14236,America/Argentina/Buenos_Aires,America/Argentina/Salta,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
765,Chorotis,Chaco,AR,-27.91578,-61.39982,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
787,Comodoro Rivadavia,Chubut,AR,-45.86413,-67.49656,America/Argentina/Buenos_Aires,America/Argentina/Catamarca,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
793,Concordia,Entre Ríos,AR,-31.39296,-58.02089,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
795,Contraalmirante Cordero,Río Negro,AR,-38.72423,-68.15284,America/Argentina/Buenos_Aires,America/Argentina/Salta,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
799,Coronel Du Graty,Chaco,AR,-27.68038,-60.91462,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
807,Coté-Lai,Chaco,AR,-27.5,-59.6,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
813,Curuzú Cuatiá,Corrientes,AR,-29.79171,-58.0546,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
815,Córdoba,Córdoba,AR,-31.4135,-64.18105,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
816,Dalmacio Vélez Sársfield,Córdoba,AR,-32.61072,-63.58038,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
819,Departamento Capital,Salta,AR,-24.83333,-65.33333,America/Argentina/Buenos_Aires,America/Argentina/Salta,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
820,Departamento de Aguirre,Santiago del Estero,AR,-29.33333,-62.5,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
821,Departamento de Albardón,San Juan,AR,-31.28333,-68.41667,America/Argentina/Buenos_Aires,America/Argentina/San_Juan,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
822,Departamento de Almirante Brown,Chaco,AR,-25.81662,-61.45576,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
823,Departamento de Aluminé,Neuquén,AR,-39.16667,-71,America/Argentina/Buenos_Aires,America/Argentina/Salta,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
824,Departamento de Ambato,Catamarca,AR,-28,-65.91667,America/Argentina/Buenos_Aires,America/Argentina/Catamarca,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
825,Departamento de Ancasti,Catamarca,AR,-29,-65.5,America/Argentina/Buenos_Aires,America/Argentina/Catamarca,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
826,Departamento de Andalgalá,Catamarca,AR,-27.58333,-66.46667,America/Argentina/Buenos_Aires,America/Argentina/Catamarca,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
827,Departamento de Angaco,San Juan,AR,-31.2,-68.13333,America/Argentina/Buenos_Aires,America/Argentina/San_Juan,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
828,Departamento de Anta,Salta,AR,-24.91667,-64,America/Argentina/Buenos_Aires,America/Argentina/Salta,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
829,Departamento de Antofagasta de la Sierra,Catamarca,AR,-26,-67.58333,America/Argentina/Buenos_Aires,America/Argentina/Catamarca,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
830,Departamento de Apóstoles,Misiones,AR,-27.91667,-55.75,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
831,Departamento de Arauco,La Rioja,AR,-28.5,-66.83333,America/Argentina/Buenos_Aires,America/Argentina/La_Rioja,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
832,Departamento de Avellaneda,Río Negro,AR,-39.5,-66.5,America/Argentina/Buenos_Aires,America/Argentina/Salta,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
833,Departamento de Añelo,Neuquén,AR,-38.16667,-69,America/Argentina/Buenos_Aires,America/Argentina/Salta,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
834,Departamento de Banda,Santiago del Estero,AR,-27.5,-64.33333,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
835,Departamento de Belgrano,Santa Fe,AR,-32.5,-61.75,America/Argentina/Buenos_Aires,America/Argentina/Cordoba,coordinate_polygon,high,,not_required,tzfpy-2026c,polygon lookup differs from existing America/Argentina/Buenos_Aires
